variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
fopen5,MESA_AirNRExam5Main,HOW MUCH CAN YOU OPEN UP TO THEM IF YOU NEED TO TALK ABOUT YOUR WORRIES,NUMERIC,,1=A LOT|2=SOME|3=A LITTLE|4=NOT AT ALL,4,phv00175229.v1,phs000209.v13
forehd5,MESA_AirNRExam5Main,Q23A) WHAT DO WE CALL THIS PART OF THE FACE/BODY: FOREHEAD,NUMERIC,,0=ERROR / REFUSED|0.3=CORRECT|9=NOT ATT / DISABLED,3,phv00174719.v1,phs000209.v13
frci085c,MESA_AirNRExam5Main,FRAMINGHAM GLOBAL CVD RISK PER CIRC 2008 PAPER,NUMERIC,,,,phv00174600.v1,phs000209.v13
frcirc5c,MESA_AirNRExam5Main,10YR ALL CHD RISK PER CIRC 1998 PAPER,NUMERIC,,,,phv00174599.v1,phs000209.v13
frely5,MESA_AirNRExam5Main,HOW MUCH CAN RELY ON FRIENDS AND FAMILY FOR HELP WITH SERIOUS PROBLEM,NUMERIC,,1=A LOT|2=SOME|3=A LITTLE|4=NOT AT ALL,4,phv00175228.v1,phs000209.v13
frjama5c,MESA_AirNRExam5Main,10YR HARD CHD RISK PER JAMA 2001 PAPER,NUMERIC,,,,phv00174598.v2,phs000209.v13
frmver5,MESA_AirNRExam5Main,VERSION OF MUSE FORM,STRING,,,,phv00174893.v1,phs000209.v13
frncep5c,MESA_AirNRExam5Main,10 YR HARD CHD RISK--NCEP VERSION,NUMERIC,,,,phv00174597.v1,phs000209.v13
gender1,MESA_AirNRExam5Main,GENDER,NUMERIC,,0=FEMALE|1=MALE,2,phv00174586.v1,phs000209.v13
getgoin5,MESA_AirNRExam5Main,COULD NOT GET GOING,NUMERIC,,1=RARELY OR NONE OF THE TIME|2=SOME OR LITTLE OF THE TIME|3=MODERATE AMOUNT OF TIME|4=MOST OF THE TIME,4,phv00175226.v1,phs000209.v13
gluccmt5,MESA_AirNRExam5Main,FASTING GLUCOSE LAB COMMENTS,STRING,,,,phv00175247.v1,phs000209.v13
glucose5,MESA_AirNRExam5Main,FASTING GLUCOSE (mg/dl),NUMERIC,mg/dl,,,phv00175240.v1,phs000209.v13
gohome5,MESA_AirNRExam5Main,Q17A) REPEAT EXACTLY WHAT I SAY: 'HE WOULD LIKE TO GO HOME.',NUMERIC,,0=3 OR MORE MISSED / WRONG WORDS|1=1 OR 2 MISSED/WRONG WORDS|2=CORRECT|9=NOT ATTEMPTED / DISABLED,4,phv00174699.v1,phs000209.v13
goingyw5,MESA_AirNRExam5Main,DURING PAST MONTH: HOW OFTEN HAVE YOU FELT THINGS WERE GOING YOUR WAY,NUMERIC,,1=NEVER|2=ALMOST NEVER|3=SOMETIMES|4=FAIRLY OFTEN|5=VERY OFTEN,5,phv00175234.v1,phs000209.v13
gout5,MESA_AirNRExam5Main,"GOUT FLARE-UP, PAST TWO WEEKS",NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175289.v1,phs000209.v13
gout5c,MESA_AirNRExam5Main,ANY GOUT MEDICATIONS,NUMERIC,,0=NO|1=YES,2,phv00175361.v1,phs000209.v13
h2b5c,MESA_AirNRExam5Main,H-2 BLOCKERS,NUMERIC,,0=NO|1=YES,2,phv00175362.v1,phs000209.v13
happy5,MESA_AirNRExam5Main,WAS HAPPY,NUMERIC,,1=RARELY OR NONE OF THE TIME|2=SOME OR LITTLE OF THE TIME|3=MODERATE AMOUNT OF TIME|4=MOST OF THE TIME,4,phv00175218.v1,phs000209.v13
hba1c5,MESA_AirNRExam5Main,SERUM HEMOGLOBIN A1C,NUMERIC,,,,phv00175243.v1,phs000209.v13
hbacmt5,MESA_AirNRExam5Main,SERUM HEMOGLOBIN LAB COMMENTS,STRING,,,,phv00175250.v1,phs000209.v13
hctz5c,MESA_AirNRExam5Main,THIAZIDE DIURETICS WITHOUT K-SPARING AGENTS,NUMERIC,,0=NO|1=YES,2,phv00175363.v1,phs000209.v13
