tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
7yaYyu_b2de	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right arm motor function untestable reason		Reason right arm motor function is untestable (use if limb is missing or amputated or shoulder joint is fused), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20632; BRICS Variable Name:NOSTBIMotorFuncRArmUntestblRsn	NINDS	Qualified	False
XJZ5kdW_3_g	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right leg motor function scale		Scale of motor function for right leg, as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Value List	0=No drift | 1=Drift (able to hold for 10 seconds but there is drift, limb falls to intermediate position) | 2=Some effort against gravity (unable to hold for 10 seconds, but some effort against gravity) | 3=No effort against gravity (unable to raise to angle, but some effort against gravity, patient is unable to sustain the position if the examiner raises the limb to the correct angle) | 4=No movement (unable to move the limb, no movement against gravity) | UN=Untestable (use if limb is missing or amputated, or shoulder joint is fused)	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20639; BRICS Variable Name:NOSTBIMotorFunctRightLegScl	NINDS	Qualified	False
XyE5ydbW3ul	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right leg motor function untestable reason		Reason right leg motor function is untestable (use if limb is missing or amputated or hip joint is fused), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20646; BRICS Variable Name:NOSTBIRightLegUntestblRsn	NINDS	Qualified	False
Q1F5JOWW3Ol	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right lower extremity sensory scale		The scale as related to right leg sensory loss (examine with sharp and dull ends of a pin on proximal ends of all four limbs), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Value List	0=Normal (no sensory loss) | 1=Partial loss (mild to moderate diminution in perception) | 2=Dense loss (severe sensory loss so that the patient is unaware of being touched)	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20664; BRICS Variable Name:NOSTBISensoryRightLegScl	NINDS	Qualified	False
mJPxmceolcZ	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right side facial paresis scale		"The scale as related to facial paresis on the right side (look for symmetry at rest and during spontaneous facial movements observe activation during
commands such as smile, show teeth, puff out cheeks, pucker, close eyes forcefully, raise eyebrows), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)"	Value List	0=Normal facial movements, no abnormal asymmetry | 1=Minor paresis (asymmetry at rest or doing spontaneous facial movements) | 2=Partial paresis (unilateral ''central'' facial paresis, decreased spontaneous and forced movements with changes most prominent at the mouth, orbital and forehead are normal) | 3=Complete palsy (involves forehead, orbital, and circumoral muscles)	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20621; BRICS Variable Name:NOSTBIFacialParesisRightScl	NINDS	Qualified	False
mJNFkdZZhux	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right side hearing scale		The scale as related to hearing on the right side (finger rub), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Value List	0=No deficits | 1=Mild deficit (inconsistent detection of the stimulus or need to increase volume) | 2=Severe or complete hearing deficit in right ear (cannot detect the stimulus at all)	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20613; BRICS Variable Name:NOSTBIHearingRightSideScl	NINDS	Qualified	False
7JS9JdZ_2de	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right side visual field scale		The scale as related to right visual field (count fingers in all four quadrants of the visual field of each eye separately), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Value List	0=No visual loss | 1=Partial hemianopia (partial field defect in both eyes, quadratic or sector defect) | 2=Complete hemianopia (dense visual field defect in both eyes, homonymous hemianopia)	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20605; BRICS Variable Name:NOSTBIRightVisualFieldScl	NINDS	Qualified	False
m1dc1u_W2de	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Right upper extremity sensory scale		The scale as related to right arm sensory loss (examine with sharp and dull ends of a pin on proximal ends of all four limbs), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Value List	0=Normal (no sensory loss) | 1=Partial loss (mild to moderate diminution in perception) | 2=Dense loss (severe sensory loss so that the patient is unaware of being touched)	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20656; BRICS Variable Name:NOSTBISensoryRightArmScl	NINDS	Qualified	False
X13qyuZ_hde	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Score of supplemental items		"Score for supplemental items NOSTBIGaitAtaxiaScl and NOSTBILimbAtaxiaScl (and without items scored as ""UN""), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)"	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20680; BRICS Variable Name:NOSTBISupplementalItemsScore	NINDS	Qualified	False
mJ6q1uZ_h_e	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Score without supplemental items		"Score without supplemental items NOSTBIGaitAtaxiaScl and NOSTBILimbAtaxiaScl (and without items scored as ""UN""), as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)"	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20679; BRICS Variable Name:NOSTBIWithoutSupplemItemsScore	NINDS	Qualified	False
